Date,Open,High,Low,Close,Adj Close,Volume,SMA,EMA,Volatility,RSI,MACD,Signal Line,Daily_Return,Normalized_Close,Log_Return,10_Day_MA_Return,Previous_Day_Return
2021-06-01,209.26666259765625,211.26666259765625,206.8500061035156,207.96665954589844,207.96665954589844,54254700,0.0,207.96665954589844,0.0,100.0,0.0,0.0,0.0,-0.6836269788265693,0.0,0.0,0.0
2021-06-02,206.7100067138672,207.7866668701172,199.7133331298828,201.7066650390625,201.7066650390625,69908400,0.0,204.61309106009347,0.0,100.0,-0.1404485947046794,-0.07802699705815523,-0.030100952337768105,-0.7902980471326445,-0.030563287475861584,0.0,0.0
2021-06-03,200.6000061035156,201.51666259765625,190.4066619873047,190.94667053222656,190.94667053222656,90335700,0.0,199.3924720129457,0.0,100.0,-0.5126261726649091,-0.2561414132904314,-0.05334476431283097,-0.973649663137788,-0.05482031154624073,0.0,-0.030100952337768105
2021-06-04,193.23666381835935,200.20333862304688,192.3999938964844,199.68333435058597,199.68333435058597,72110700,0.0,199.481455006921,0.0,100.0,-0.35390274561501656,-0.28925839578520957,0.045754470575515516,-0.824775848325692,0.04473860632554938,0.0,-0.05334476431283097
2021-06-07,197.27667236328125,203.3333282470703,194.2933349609375,201.7100067138672,201.7100067138672,67631100,0.0,200.06288073738082,0.0,100.0,-0.17955830830157993,-0.2566250998893178,0.010149431698305733,-0.7902411045872544,0.01009827208586457,0.0,0.045754470575515516
2021-06-08,207.6699981689453,207.69667053222656,198.5,201.19667053222656,201.19667053222656,78160200,0.0,200.32521948223928,0.0,100.0,-0.09332911400835542,-0.21236280863439477,-0.002544921741878703,-0.7989884156010214,-0.0025481655598922595,0.0,0.010149431698305733
2021-06-09,200.72332763671875,203.92999267578125,199.2100067138672,199.5933380126953,199.5933380126953,49753800,0.0,200.1709965388967,0.0,100.0,-0.10905559512949026,-0.18621850888197528,-0.007968981371759054,-0.8263093968768843,-0.008000903407653626,0.0,-0.002544921741878703
2021-06-10,201.2933349609375,205.52999877929688,200.1666717529297,203.3733367919922,203.3733367919922,71758800,0.0,200.7973271374053,0.0,100.0,0.06192880386780075,-0.12658404321695355,0.018938501740255687,-0.7618977576105969,0.018761400839628444,0.0,-0.007968981371759054
2021-06-11,203.41000366210935,204.1866607666016,200.5066680908203,203.29666137695312,203.29666137695312,48615900,0.0,201.2575126687682,0.0,100.0,0.17558586541736076,-0.056781295249780046,-0.0003770180312155924,-0.7632043160150965,-0.00037708912038201647,0.0,0.018938501740255687
2021-06-14,204.07666015625,208.4966735839844,203.05999755859372,205.89666748046875,205.89666748046875,61272000,0.0,202.0704023147254,0.0,100.0,0.3875811693441449,0.04278169202492835,0.012789221849023313,-0.7188998955620969,0.012708130416930218,-0.0006705011932352179,-0.0003770180312155924
